symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
AIRA,"9,064,208.52","4,425,856.29","1,578,719.63","3,829,429.06","775,754.29","733,640.36","6,706.20","-57,621.68","-164,960.13",-0.03,"-89,373.89","-881,594.99","1,000,901.42","29,932.54",-4.31,-0.64,77.29,-22.34,-7.43,0.95,-0.53,1.44,0.17,-,0.09,N/A,-,N/A,-,N/A,-,-
AKP,"631,252.78","97,757.99","202,000.00","533,494.79","432,917.31","397,449.90","77,396.33","39,830.34","31,298.61",0.08,"61,622.50","-226,148.86","-29,087.28","-193,613.64",5.89,6.27,21.44,7.23,9.2,0.18,80.92,4.06,3.92,14.23,0.68,N/A,-,3.27,111.78,4.97,73.44,38.34
ALL,"7,631,619.86","5,651,597.95","560,000.00","1,980,004.79","2,918,216.96","2,161,675.09","744,980.42","695,907.86","501,091.31",0.98,"354,197.22","-602,902.97","351,669.75","102,964.00",36.41,10.2,33.9,17.17,23.85,2.85,11.44,1.3,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01
ALPHAX,"987,986.12","410,957.04","301,612.26","471,949.50","1,808,489.53","1,837,532.73","-22,403.36","-29,043.21",-30.06,-,"23,309.28","-81,448.92","-9,235.84","-67,375.48",-0.01,-3.65,3.82,-0.29,-1.61,0.71,90.8,4.08,0.6,284.69,2.28,4.33,84.22,16.14,22.62,51.21,7.13,99.71
AMA,"3,397,041.08","1,328,974.30","258,958.39","2,068,064.64","1,909,332.78","1,636,638.37","539,418.72","269,764.73","180,519.63",0.35,"465,084.04","-115,004.80","-508,125.47","-158,046.23",8.76,7.64,21.59,9.45,14.13,0.64,4.31,0.51,0.39,0.61,0.54,21.83,16.72,13.32,27.41,11.73,31.12,13.01
APP,"615,451.96","292,020.76","140,000.00","323,933.12","734,973.54","662,765.76","85,122.23","72,207.78","57,482.10",0.28,"86,381.04","-26,593.62","178,349.72","238,137.15",27.58,14.52,47.69,7.84,9.82,0.9,"10,572.15",1.99,1.64,8.9,1.48,15.19,24.03,9.64,37.85,4.4,82.91,-21.03
ARIN,"1,016,727.42","537,218.24","300,000.00","479,509.18","162,190.45","160,922.87","7,519.47","1,267.58","-14,120.83",-0.03,"-155,783.86","-1,904.26","162,897.40","5,209.28",-3.81,0.13,29.5,-8.71,0.78,1.12,0.06,1.54,0.03,9.42,0.17,0.15,"2,357.19",13.66,26.72,1.08,338.17,"2,045.75"
ARIP,"234,721.57","27,914.02","116,500.00","206,807.56","165,957.70","162,759.26","6,470.85","3,198.44","1,328.00",-,"-21,993.56","-9,512.68",-432,"-31,938.24",0.64,1.37,27.95,0.8,1.93,0.13,27.33,7.07,6.18,3.54,0.71,595.61,0.61,3.42,106.72,6.96,52.41,54.92
ARROW,"1,566,303.83","378,612.04","254,910.39","1,204,958.93","1,467,228.54","1,244,759.75","260,378.70","222,440.90","205,469.92",0.81,"137,353.87","-50,834.15","-102,179.83","-15,660.10",17.76,14.63,25.64,12.77,15.16,0.32,28.39,3.19,1.39,3.15,0.97,2.23,163.96,3.71,98.5,8.83,41.33,221.13
ASN,"326,508.89","43,661.36","65,000.00","282,847.53","159,613.44","121,357.45","44,018.56","38,255.99","30,548.85",0.2,"10,587.65","5,744.84",-,"16,332.48",11.4,12.44,47.11,19.14,23.97,0.15,N/A,5.59,3.56,13.4,0.52,N/A,-,4.9,74.43,2.87,127.12,-52.69
ATP30,"755,388.53","349,797.24","154,327.51","405,591.29","458,891.33","391,290.19","125,198.52","67,601.14","46,820.89",0.08,"113,106.66","-41,453.16","-68,811.66","2,841.83",12.64,9.12,25.69,10.2,14.73,0.86,5.24,0.81,0.67,0.74,0.62,433.09,0.84,7.77,47,8.61,42.38,5.46
AU,"1,200,226.66","161,634.53","81,562.36","1,038,592.14","1,205,251.39","911,889.96","365,411.49","293,361.43","237,082.95",0.29,"337,003.95","-160,460.83","-155,101.08","21,442.03",23.76,25.54,64.68,19.67,24.34,0.16,"1,327.07",4.4,4.03,2.19,1.05,11.68,31.25,91.56,3.99,5.44,67.13,-31.89
AUCT,"845,191.14","327,911.00","137,500.00","517,280.14","811,869.51","519,199.79","341,841.07","293,384.16","234,245.76",0.43,"304,951.07","-151,010.94","-192,464.80","-38,524.68",47.19,37,52.95,28.85,36.14,0.63,N/A,2.03,2.02,3.39,1.02,N/A,-,6.2,58.85,1.78,205.44,-146.58
BC,"3,845,004.62","2,747,057.06","507,000.00","963,529.12","272,114.17","472,382.69","384,763.11","329,039.51","-71,595.01",-0.2,"-148,760.98","280,629.33","130,855.20","262,723.55",-9.67,8.97,57.24,54.97,120.92,2.5,2.5,1.16,1.13,0.1,0.07,99.45,3.67,3.14,116.21,0.49,743.02,-623.14
